Episode,Epsilon,Total Reward,Loss,Steps,Collisions,Exit Reason
1,0.995,-1492.0,0,30,5,Collision tolerance exceeded
2,0.990025,-2642.0,10222.344325628772,67,5,Collision tolerance exceeded
3,0.985074875,-520.0,3361.4809228097297,34,5,Collision tolerance exceeded
4,0.9801495006250001,-4386.0,8300.920416213425,81,5,Collision tolerance exceeded
5,0.9752487531218751,-840.0,4736.797972652019,44,5,Collision tolerance exceeded
6,0.9703725093562657,-608.0,2628.736693040305,28,5,Collision tolerance exceeded
7,0.9655206468094844,-1624.0,5029.848915604949,52,5,Collision tolerance exceeded
8,0.960693043575437,-1044.0,4545.006174642182,48,5,Collision tolerance exceeded
9,0.9558895783575597,-1120.0,3309.3960615201513,36,5,Collision tolerance exceeded
10,0.9511101304657719,-1004.0,5098.498421775984,55,5,Collision tolerance exceeded
11,0.946354579813443,-3016.0,7017.067694578641,78,5,Collision tolerance exceeded
12,0.9416228069143757,-1182.0,4218.5451246178345,47,5,Collision tolerance exceeded
13,0.9369146928798039,-2362.0,3984.018138201155,43,5,Collision tolerance exceeded
14,0.9322301194154049,-898.0,3614.624470129771,40,5,Collision tolerance exceeded
15,0.9275689688183278,-1712.0,3646.534824993769,39,5,Collision tolerance exceeded
16,0.9229311239742362,-956.0,2984.6485494668996,35,5,Collision tolerance exceeded
17,0.918316468354365,-724.0,1993.0230280160922,22,5,Collision tolerance exceeded
18,0.9137248860125932,-668.0,1882.707277572731,23,5,Collision tolerance exceeded
19,0.9091562615825302,-1058.0,2918.730836785966,33,5,Collision tolerance exceeded
20,0.9046104802746175,-2206.0,3790.178434828616,45,5,Collision tolerance exceeded
21,0.9000874278732445,-690.0,3369.9282183291953,37,5,Collision tolerance exceeded
22,0.8955869907338783,-2000.0,4508.555517053326,50,5,Collision tolerance exceeded
23,0.8911090557802088,-1584.0,4075.440330882698,45,5,Collision tolerance exceeded
24,0.8866535105013078,-992.0,2860.8589349231715,32,5,Collision tolerance exceeded
25,0.8822202429488013,-524.0,2742.7625367467485,28,5,Collision tolerance exceeded
26,0.8778091417340573,-682.0,6919.324350064566,75,5,Collision tolerance exceeded
27,0.8734200960253871,-1318.0,2330.9212921937706,25,5,Collision tolerance exceeded
28,0.8690529955452602,-816.0,2505.198512734834,28,5,Collision tolerance exceeded
29,0.8647077305675338,-766.0,2546.710330078712,29,5,Collision tolerance exceeded
30,0.8603841919146962,-2730.0,4820.9010788241285,57,5,Collision tolerance exceeded
31,0.8560822709551227,-1730.0,4271.442684196229,51,5,Collision tolerance exceeded
32,0.851801859600347,-552.0,2235.860709798015,24,5,Collision tolerance exceeded
33,0.8475428503023453,-4702.0,6290.102045144487,69,5,Collision tolerance exceeded
34,0.8433051360508336,-1346.0,2713.2054927833888,29,5,Collision tolerance exceeded
35,0.8390886103705794,-700.0,3161.781014619765,34,5,Collision tolerance exceeded
36,0.8348931673187264,-620.0,3015.5999695052583,34,5,Collision tolerance exceeded
37,0.8307187014821328,-1530.0,3089.5219077567617,35,5,Collision tolerance exceeded
38,0.8265651079747222,-976.0,2832.9882634742144,30,5,Collision tolerance exceeded
39,0.8224322824348486,-628.0,3109.359169922311,34,5,Collision tolerance exceeded
40,0.8183201210226743,-2864.0,7322.094681233577,80,5,Collision tolerance exceeded
41,0.8142285204175609,-1978.0,5108.24024108593,55,5,Collision tolerance exceeded
42,0.810157377815473,-1158.0,3068.4205785606173,37,5,Collision tolerance exceeded
43,0.8061065909263957,-1172.0,3400.757747237047,36,5,Collision tolerance exceeded
44,0.8020760579717637,-1454.0,3196.454628722169,39,5,Collision tolerance exceeded
45,0.798065677681905,-2038.0,3422.8414847770127,37,5,Collision tolerance exceeded
46,0.7940753492934954,-1012.0,5154.79319228124,54,5,Collision tolerance exceeded
47,0.7901049725470279,-1216.0,3730.7664984933303,42,5,Collision tolerance exceeded
