Episode,Epsilon,Total Reward,Loss,Steps,Collisions,Exit Reason
1,0.995,-2066.0,0,31,5,Collision tolerance exceeded
2,0.990025,-1102.0,8049.889448269206,37,5,Collision tolerance exceeded
3,0.985074875,-524.0,3624.968341617103,26,5,Collision tolerance exceeded
4,0.9801495006250001,-1148.0,3439.140381854115,28,5,Collision tolerance exceeded
5,0.9752487531218751,-1278.0,2877.392369545558,25,5,Collision tolerance exceeded
6,0.9703725093562657,-620.0,3281.494907079184,28,5,Collision tolerance exceeded
7,0.9655206468094844,-1480.0,4235.112001055674,41,5,Collision tolerance exceeded
8,0.960693043575437,-982.0,3268.7640191553787,34,5,Collision tolerance exceeded
9,0.9558895783575597,-4046.0,9506.216322235165,91,5,Collision tolerance exceeded
10,0.9511101304657719,-1474.0,3837.8655385257766,33,5,Collision tolerance exceeded
11,0.946354579813443,-3560.0,7663.862983671166,60,5,Collision tolerance exceeded
12,0.9416228069143757,-1792.0,6879.557685576265,48,5,Collision tolerance exceeded
13,0.9369146928798039,-306.0,2926.075172818717,19,5,Collision tolerance exceeded
14,0.9322301194154049,-328.0,2744.2120449491085,18,5,Collision tolerance exceeded
15,0.9275689688183278,-684.0,4065.014623446281,28,5,Collision tolerance exceeded
16,0.9229311239742362,-496.0,4485.292401764775,28,5,Collision tolerance exceeded
17,0.918316468354365,-264.0,4048.5688994291627,24,5,Collision tolerance exceeded
18,0.9137248860125932,-1326.0,6543.380512052686,41,5,Collision tolerance exceeded
19,0.9091562615825302,-784.0,4635.3253894241425,26,5,Collision tolerance exceeded
20,0.9046104802746175,-984.0,4805.888526686498,30,5,Collision tolerance exceeded
21,0.9000874278732445,-5214.0,13494.460966491579,82,5,Collision tolerance exceeded
22,0.8955869907338783,-742.0,6172.761840416468,35,5,Collision tolerance exceeded
23,0.8911090557802088,-642.0,5700.792634090755,33,5,Collision tolerance exceeded
24,0.8866535105013078,-422.0,7230.686305126369,39,5,Collision tolerance exceeded
25,0.8822202429488013,-1632.0,9003.151075579724,44,5,Collision tolerance exceeded
26,0.8778091417340573,-2120.0,8699.207872416997,48,5,Collision tolerance exceeded
27,0.8734200960253871,-148.0,4559.813637412317,24,5,Collision tolerance exceeded
28,0.8690529955452602,-2470.0,8744.952994831714,47,5,Collision tolerance exceeded
29,0.8647077305675338,-4096.0,12657.675013990665,70,5,Collision tolerance exceeded
30,0.8603841919146962,-1670.0,11182.380057849501,67,5,Collision tolerance exceeded
31,0.8560822709551227,-2422.0,11284.294134456588,62,5,Collision tolerance exceeded
32,0.851801859600347,-2070.0,7395.479944739984,43,5,Collision tolerance exceeded
33,0.8475428503023453,-528.0,6443.593558091954,36,5,Collision tolerance exceeded
34,0.8433051360508336,-894.0,4544.150619073123,25,5,Collision tolerance exceeded
35,0.8390886103705794,-2520.0,8841.313410182263,46,5,Collision tolerance exceeded
36,0.8348931673187264,-1486.0,5582.600433844116,27,5,Collision tolerance exceeded
37,0.8307187014821328,-1122.0,6517.06827585696,29,5,Collision tolerance exceeded
38,0.8265651079747222,-3926.0,15178.70757833324,71,5,Collision tolerance exceeded
39,0.8224322824348486,-674.0,7577.127040863375,35,5,Collision tolerance exceeded
40,0.8183201210226743,-2148.0,12555.00544587703,59,5,Collision tolerance exceeded
41,0.8142285204175609,-2384.0,12166.057855557061,56,5,Collision tolerance exceeded
42,0.810157377815473,-958.0,11008.761307120945,43,5,Collision tolerance exceeded
43,0.8061065909263957,-608.0,10893.70647132838,40,5,Collision tolerance exceeded
44,0.8020760579717637,-2092.0,8326.562334138154,38,5,Collision tolerance exceeded
45,0.798065677681905,-1308.0,14370.409638478153,60,5,Collision tolerance exceeded
46,0.7940753492934954,-1320.0,10004.277808270563,44,5,Collision tolerance exceeded
47,0.7901049725470279,-796.0,7913.110427303457,34,5,Collision tolerance exceeded
48,0.7861544476842928,-2400.0,10488.633655117043,46,5,Collision tolerance exceeded
49,0.7822236754458713,-1452.0,9219.476521773002,40,5,Collision tolerance exceeded
50,0.778312557068642,-1932.0,9166.452021389443,39,5,Collision tolerance exceeded
51,0.7744209942832988,-2492.0,11894.85369462071,52,5,Collision tolerance exceeded
52,0.7705488893118823,-676.0,7428.272400379665,38,5,Collision tolerance exceeded
53,0.7666961448653229,-432.0,5416.195001750413,25,5,Collision tolerance exceeded
54,0.7628626641409962,-784.0,9281.1367609528,40,5,Collision tolerance exceeded
55,0.7590483508202912,-2220.0,13167.54739123198,60,5,Collision tolerance exceeded
56,0.7552531090661897,-572.0,9031.926365836642,42,5,Collision tolerance exceeded
57,0.7514768435208588,-1646.0,12607.588920334514,57,5,Collision tolerance exceeded
58,0.7477194593032545,-576.0,6938.997826613275,34,5,Collision tolerance exceeded
59,0.7439808620067382,-1404.0,8456.332724365377,41,5,Collision tolerance exceeded
60,0.7402609576967045,-1492.0,6663.904532483468,37,5,Collision tolerance exceeded
61,0.736559652908221,-1032.0,12208.46333986382,64,5,Collision tolerance exceeded
62,0.7328768546436799,-1332.0,6021.0737372634685,30,5,Collision tolerance exceeded
63,0.7292124703704616,-2190.0,7304.721097189267,35,5,Collision tolerance exceeded
64,0.7255664080186093,-1500.0,7610.509784329087,37,5,Collision tolerance exceeded
65,0.7219385759785162,-1336.0,7068.481939948184,35,5,Collision tolerance exceeded
66,0.7183288830986236,-996.0,9386.584391488384,44,5,Collision tolerance exceeded
67,0.7147372386831305,-1084.0,9410.802774897511,46,5,Collision tolerance exceeded
68,0.7111635524897149,-1296.0,9607.62629037358,50,5,Collision tolerance exceeded
69,0.7076077347272662,-1348.0,6709.009903140184,34,5,Collision tolerance exceeded
70,0.7040696960536299,-1150.0,9463.665530079646,47,5,Collision tolerance exceeded
71,0.7005493475733617,-1196.0,10421.982881729218,52,5,Collision tolerance exceeded
72,0.697046600835495,-1694.0,15729.13332839391,77,5,Collision tolerance exceeded
73,0.6935613678313175,-2782.0,10730.697203562511,57,5,Collision tolerance exceeded
74,0.6900935609921609,-854.0,5006.240939568199,27,5,Collision tolerance exceeded
75,0.6866430931872001,-1228.0,7924.49901707647,38,5,Collision tolerance exceeded
76,0.6832098777212641,-2480.0,11639.756484461825,53,5,Collision tolerance exceeded
77,0.6797938283326578,-3876.0,24733.48247751513,126,5,Collision tolerance exceeded
78,0.6763948591909945,-1144.0,6862.119976003686,38,5,Collision tolerance exceeded
79,0.6730128848950395,-1722.0,7691.382641294486,39,5,Collision tolerance exceeded
80,0.6696478204705644,-1382.0,7405.333389204304,41,5,Collision tolerance exceeded
81,0.6662995813682115,-1122.0,5180.0637356086145,31,5,Collision tolerance exceeded
82,0.6629680834613705,-4254.0,23099.679227834557,137,5,Collision tolerance exceeded
83,0.6596532430440636,-2464.0,8023.027144648851,44,5,Collision tolerance exceeded
84,0.6563549768288433,-686.0,5594.988836331671,27,5,Collision tolerance exceeded
85,0.653073201944699,-2248.0,8370.098496301996,42,5,Collision tolerance exceeded
86,0.6498078359349755,-1128.0,25552.95280019853,130,5,Collision tolerance exceeded
87,0.6465587967553006,-1934.0,15920.577165110586,73,5,Collision tolerance exceeded
88,0.6433260027715241,-984.0,8042.480580490078,36,5,Collision tolerance exceeded
89,0.6401093727576664,-1396.0,7072.572150305072,36,5,Collision tolerance exceeded
90,0.6369088258938781,-834.0,7276.296424212472,33,5,Collision tolerance exceeded
91,0.6337242817644086,-2866.0,10686.029001091103,47,5,Collision tolerance exceeded
92,0.6305556603555866,-1836.0,13544.78741611005,61,5,Collision tolerance exceeded
93,0.6274028820538087,-640.0,7511.646567119304,38,5,Collision tolerance exceeded
94,0.6242658676435396,-1462.0,7710.458576087724,37,5,Collision tolerance exceeded
95,0.6211445383053219,-832.0,8904.653052616624,40,5,Collision tolerance exceeded
96,0.6180388156137953,-2526.0,17856.06203791729,92,5,Collision tolerance exceeded
97,0.6149486215357263,-1936.0,11690.2741643151,56,5,Collision tolerance exceeded
98,0.6118738784280476,-2280.0,17550.614742684622,96,1,Goal reached
99,0.6088145090359074,-2208.0,13561.588947650871,70,1,Goal reached
100,0.6057704364907278,-2812.0,8933.376856273171,45,5,Collision tolerance exceeded
101,0.6027415843082742,-1598.0,8463.307226978866,41,5,Collision tolerance exceeded
102,0.5997278763867329,-574.0,5816.2156431355925,29,5,Collision tolerance exceeded
103,0.5967292370047992,-3056.0,28316.399940464256,148,5,Collision tolerance exceeded
104,0.5937455908197752,-6588.0,26520.542856112155,132,5,Collision tolerance exceeded
105,0.5907768628656763,-5216.0,13619.753688571622,62,5,Collision tolerance exceeded
106,0.5878229785513479,-1630.0,11060.171738997517,48,5,Collision tolerance exceeded
107,0.5848838636585911,-1124.0,16190.14629126631,76,5,Collision tolerance exceeded
108,0.5819594443402982,-5064.0,12075.104812472739,62,5,Collision tolerance exceeded
109,0.5790496471185967,-506.0,11745.885534140185,57,5,Collision tolerance exceeded
110,0.5761543988830038,-1460.0,12395.148144042507,56,5,Collision tolerance exceeded
111,0.5732736268885887,-1936.0,11857.170429037546,56,5,Collision tolerance exceeded
112,0.5704072587541458,-578.0,8525.501520842616,37,5,Collision tolerance exceeded
113,0.567555222460375,-2080.0,20483.31272966462,100,5,Collision tolerance exceeded
114,0.5647174463480732,-2358.0,15660.168908692456,75,5,Collision tolerance exceeded
115,0.5618938591163328,-1454.0,6807.7766864458,35,5,Collision tolerance exceeded
116,0.5590843898207511,-182.0,9717.34240435302,47,5,Collision tolerance exceeded
117,0.5562889678716474,-2496.0,12452.383312819631,66,5,Collision tolerance exceeded
118,0.5535075230322891,-2776.0,18405.660988678454,94,5,Collision tolerance exceeded
119,0.5507399854171277,-2312.0,10543.064304827454,63,5,Collision tolerance exceeded
120,0.547986285490042,-744.0,9533.645164266327,48,5,Collision tolerance exceeded
121,0.5452463540625918,-820.0,9466.541528817907,52,5,Collision tolerance exceeded
122,0.5425201222922789,-632.0,5801.32449214859,32,5,Collision tolerance exceeded
123,0.5398075216808175,-5098.0,18136.875959681274,101,5,Collision tolerance exceeded
124,0.5371084840724134,-2044.0,10675.641812633368,54,5,Collision tolerance exceeded
125,0.5344229416520513,-562.0,7555.826138849427,41,5,Collision tolerance exceeded
126,0.531750826943791,-890.0,5072.677452904169,27,5,Collision tolerance exceeded
127,0.5290920728090721,-1118.0,6918.326473916412,37,5,Collision tolerance exceeded
128,0.5264466124450268,-3300.0,20496.720522843352,116,5,Collision tolerance exceeded
129,0.5238143793828016,-1542.0,10802.870153566648,63,5,Collision tolerance exceeded
130,0.5211953074858876,-1800.0,24267.59639866606,128,5,Collision tolerance exceeded
131,0.5185893309484582,-1528.0,11041.23507364926,58,5,Collision tolerance exceeded
132,0.5159963842937159,-2358.0,20722.058581375164,103,5,Collision tolerance exceeded
133,0.5134164023722473,-5560.0,31048.63173211713,150,3,Max steps reached
134,0.510849320360386,-2406.0,26145.459686988273,142,5,Collision tolerance exceeded
135,0.5082950737585841,-3116.0,8413.173329284882,46,5,Collision tolerance exceeded
136,0.5057535983897912,-2106.0,12056.908091827858,67,5,Collision tolerance exceeded
137,0.5032248303978422,-1556.0,15373.329821307518,84,5,Collision tolerance exceeded
138,0.500708706245853,-908.0,8217.129215689913,45,5,Collision tolerance exceeded
139,0.4982051627146237,-2232.0,11242.35324111826,58,5,Collision tolerance exceeded
140,0.49571413690105054,-3800.0,14802.890241687932,88,5,Collision tolerance exceeded
141,0.4932355662165453,-2732.0,6950.53168488411,38,5,Collision tolerance exceeded
142,0.4907693883854626,-1756.0,11614.939784821305,67,5,Collision tolerance exceeded
143,0.4883155414435353,-1266.0,18113.73841455965,95,5,Collision tolerance exceeded
144,0.4858739637363176,-1330.0,11178.562229767975,63,5,Collision tolerance exceeded
145,0.483444593917636,-400.0,9546.691243314683,54,5,Collision tolerance exceeded
146,0.4810273709480478,-1340.0,14169.228503254939,81,5,Collision tolerance exceeded
147,0.47862223409330756,-1310.0,11170.185807913247,65,5,Collision tolerance exceeded
148,0.47622912292284103,-3026.0,15232.74378329756,93,5,Collision tolerance exceeded
149,0.4738479773082268,-1476.0,23507.660474053668,150,2,Max steps reached
150,0.47147873742168567,-2160.0,26707.375085287207,150,1,Max steps reached
151,0.46912134373457726,-1914.0,16940.980577042643,95,5,Collision tolerance exceeded
152,0.46677573701590436,-5772.0,12043.14955598898,66,5,Collision tolerance exceeded
153,0.46444185833082485,-6130.0,12874.413581771067,73,5,Collision tolerance exceeded
154,0.46211964903917074,-476.0,11661.40824528519,74,5,Collision tolerance exceeded
155,0.4598090507939749,-538.0,11160.03735329348,69,5,Collision tolerance exceeded
156,0.457510005540005,-2208.0,15849.947370582826,100,5,Collision tolerance exceeded
157,0.45522245551230495,-434.0,17829.716055728957,107,5,Collision tolerance exceeded
158,0.4529463432347434,-1392.0,19491.11568814457,118,5,Collision tolerance exceeded
159,0.4506816115185697,-5998.0,11670.162135699215,73,5,Collision tolerance exceeded
160,0.4484282034609769,-1046.0,9406.821408590644,57,5,Collision tolerance exceeded
161,0.446186062443672,-574.0,11501.723778051744,69,5,Collision tolerance exceeded
162,0.4439551321314536,-3690.0,13213.768648854124,85,5,Collision tolerance exceeded
163,0.4417353564707963,-4496.0,14679.398382371395,90,5,Collision tolerance exceeded
164,0.43952667968844233,102.0,12913.892635329863,75,5,Collision tolerance exceeded
165,0.43732904629000013,-2772.0,17525.54640884599,106,5,Collision tolerance exceeded
166,0.4351424010585501,-26.0,4687.564870305041,27,5,Collision tolerance exceeded
167,0.43296668905325736,144.0,10820.219270385045,65,5,Collision tolerance exceeded
168,0.43080185560799106,-128.0,6242.5665735839775,41,5,Collision tolerance exceeded
169,0.4286478463299511,-466.0,7142.408341271495,44,5,Collision tolerance exceeded
170,0.42650460709830135,-642.0,9380.296402801552,57,5,Collision tolerance exceeded
171,0.42437208406280985,-478.0,4843.654532839848,30,5,Collision tolerance exceeded
172,0.4222502236424958,-2594.0,5668.996497944212,35,5,Collision tolerance exceeded
173,0.42013897252428334,-680.0,7132.45871826439,40,5,Collision tolerance exceeded
174,0.4180382776616619,-2134.0,23365.46860054222,135,5,Collision tolerance exceeded
175,0.4159480862733536,-520.0,4953.361279628785,32,5,Collision tolerance exceeded
176,0.41386834584198684,-874.0,10289.771137247568,59,5,Collision tolerance exceeded
177,0.4117990041127769,-1906.0,7676.552738667337,46,5,Collision tolerance exceeded
178,0.40974000909221303,-730.0,5101.236645385206,30,5,Collision tolerance exceeded
179,0.40769130904675194,-1090.0,4991.627129343944,30,5,Collision tolerance exceeded
180,0.40565285250151817,-112.0,5212.743375034559,32,5,Collision tolerance exceeded
181,0.4036245882390106,-618.0,8044.648156499873,49,5,Collision tolerance exceeded
182,0.4016064652978155,-1524.0,6128.661303038027,38,5,Collision tolerance exceeded
183,0.3995984329713264,-926.0,10633.553987916497,73,5,Collision tolerance exceeded
184,0.3976004408064698,-1978.0,6426.928209384776,39,5,Collision tolerance exceeded
185,0.39561243860243744,-140.0,7661.858254540323,52,5,Collision tolerance exceeded
186,0.3936343764094253,-1084.0,10140.1375677855,69,5,Collision tolerance exceeded
187,0.39166620452737816,-3564.0,21190.692925323696,150,4,Max steps reached
188,0.3897078735047413,-200.0,22270.63172443312,150,0,Max steps reached
189,0.3877593341372176,-1604.0,24408.014687809788,150,1,Max steps reached
190,0.3858205374665315,-1672.0,19287.525399052054,131,5,Collision tolerance exceeded
191,0.38389143477919885,140.0,21440.908755210305,150,0,Max steps reached
192,0.3819719776053028,-838.0,20582.517512873685,142,5,Collision tolerance exceeded
193,0.3800621177172763,-2124.0,12946.955536975433,92,5,Collision tolerance exceeded
194,0.37816180712868996,-2380.0,20924.907523090744,150,2,Max steps reached
195,0.37627099809304654,-4770.0,18637.93494869408,121,5,Collision tolerance exceeded
196,0.3743896431025813,-344.0,11225.568525353898,76,5,Collision tolerance exceeded
197,0.37251769488706843,-526.0,5315.7928890205,34,5,Collision tolerance exceeded
198,0.3706551064126331,-4296.0,14883.559351353373,94,5,Collision tolerance exceeded
199,0.36880183088056995,-1102.0,13685.854321466428,87,5,Collision tolerance exceeded
200,0.3669578217261671,-1144.0,9269.561184340373,56,5,Collision tolerance exceeded
201,0.36512303261753626,-3442.0,7641.174011295711,49,5,Collision tolerance exceeded
202,0.3632974174544486,-288.0,6802.150739346361,46,5,Collision tolerance exceeded
203,0.3614809303671764,-1284.0,8531.914764236986,54,5,Collision tolerance exceeded
204,0.3596735257153405,-106.0,4938.340724905,33,5,Collision tolerance exceeded
205,0.3578751580867638,-1040.0,9524.670205608349,64,5,Collision tolerance exceeded
206,0.35608578229633,-490.0,6832.619788222633,41,5,Collision tolerance exceeded
207,0.3543053533848483,-464.0,10665.334178318764,65,5,Collision tolerance exceeded
208,0.35253382661792404,-582.0,11886.00941104835,78,5,Collision tolerance exceeded
209,0.3507711574848344,-542.0,3309.725600185491,23,5,Collision tolerance exceeded
210,0.34901730169741024,-316.0,5339.338470366509,32,5,Collision tolerance exceeded
211,0.3472722151889232,-5558.0,17880.533415813552,112,5,Collision tolerance exceeded
212,0.3455358541129786,-806.0,5635.845678291055,35,5,Collision tolerance exceeded
213,0.3438081748424137,-254.0,5441.951483930106,35,5,Collision tolerance exceeded
214,0.3420891339682016,-66.0,6725.876057266059,45,5,Collision tolerance exceeded
215,0.3403786882983606,-876.0,6724.369862612694,44,5,Collision tolerance exceeded
216,0.3386767948568688,-292.0,11391.325062379268,66,5,Collision tolerance exceeded
217,0.33698341088258443,-2284.0,9927.459924240802,62,5,Collision tolerance exceeded
218,0.3352984938281715,-896.0,7539.727632034615,39,5,Collision tolerance exceeded
219,0.33362200135903064,-1456.0,4712.725922303729,30,5,Collision tolerance exceeded
220,0.33195389135223546,-3038.0,14286.367064033235,89,5,Collision tolerance exceeded
221,0.3302941218954743,-2592.0,23807.03292706718,148,5,Collision tolerance exceeded
222,0.32864265128599696,32.0,4201.494593054568,29,5,Collision tolerance exceeded
223,0.326999438029567,-322.0,4597.287062681086,28,5,Collision tolerance exceeded
224,0.3253644408394192,-12.0,3796.520123339973,25,5,Collision tolerance exceeded
225,0.3237376186352221,44.0,4550.850095281166,32,5,Collision tolerance exceeded
226,0.322118930542046,-466.0,13017.904767873863,79,5,Collision tolerance exceeded
227,0.32050833588933575,146.0,5536.424172667481,35,5,Collision tolerance exceeded
228,0.31890579420988907,-1664.0,5477.5932717554315,36,5,Collision tolerance exceeded
229,0.3173112652388396,-160.0,12095.774781868426,79,5,Collision tolerance exceeded
230,0.3157247089126454,-22.0,3378.043878686875,23,5,Collision tolerance exceeded
231,0.3141460853680822,88.0,6299.548680801427,42,5,Collision tolerance exceeded
232,0.3125753549412418,-256.0,8674.034905876533,57,5,Collision tolerance exceeded
233,0.31101247816653554,16.0,6297.777545377803,42,5,Collision tolerance exceeded
234,0.30945741577570285,36.0,7848.38538002607,50,5,Collision tolerance exceeded
