Episode,Epsilon,Total Reward,Loss,Steps,Collisions,Exit Reason
79,0.6730128848950395,-1000.0,4878.518561544228,24,5,Collision tolerance exceeded
80,0.6696478204705644,-1678.0,8250.658823308333,39,5,Collision tolerance exceeded
81,0.6662995813682115,-1788.0,5721.718461682336,28,5,Collision tolerance exceeded
82,0.6629680834613705,-914.0,10054.463057833751,50,5,Collision tolerance exceeded
83,0.6596532430440636,-626.0,7082.256097160735,34,5,Collision tolerance exceeded
84,0.6563549768288433,-1408.0,7531.105823349609,38,5,Collision tolerance exceeded
85,0.653073201944699,-1230.0,6272.244705852683,29,5,Collision tolerance exceeded
86,0.6498078359349755,-1582.0,7704.718205518522,35,5,Collision tolerance exceeded
87,0.6465587967553006,-820.0,8316.336707140921,39,5,Collision tolerance exceeded
88,0.6433260027715241,-674.0,6854.035363820089,32,5,Collision tolerance exceeded
89,0.6401093727576664,-316.0,5411.758170285944,24,5,Collision tolerance exceeded
90,0.6369088258938781,-1720.0,9307.973641244393,42,5,Collision tolerance exceeded
91,0.6337242817644086,-1172.0,7984.598603712211,38,5,Collision tolerance exceeded
92,0.6305556603555866,-718.0,9278.365325253548,43,5,Collision tolerance exceeded
93,0.6274028820538087,-1288.0,9197.167625832375,46,5,Collision tolerance exceeded
94,0.6242658676435396,-766.0,7351.686191382942,37,5,Collision tolerance exceeded
95,0.6211445383053219,-994.0,8920.290278562701,43,5,Collision tolerance exceeded
96,0.6180388156137953,-1406.0,10846.045730629845,51,5,Collision tolerance exceeded
97,0.6149486215357263,-820.0,10949.993783415186,54,5,Collision tolerance exceeded
98,0.6118738784280476,-1222.0,4934.327993816215,27,5,Collision tolerance exceeded
99,0.6088145090359074,-440.0,6754.1174893393945,40,5,Collision tolerance exceeded
100,0.6057704364907278,-832.0,7357.434443656992,38,5,Collision tolerance exceeded
101,0.6027415843082742,-1078.0,7835.704385091529,43,5,Collision tolerance exceeded
102,0.5997278763867329,-320.0,6528.265745293591,38,5,Collision tolerance exceeded
103,0.5967292370047992,-3658.0,12178.877071902605,63,5,Collision tolerance exceeded
104,0.5937455908197752,-730.0,7008.081124394476,39,5,Collision tolerance exceeded
