Episode,Epsilon,Total Reward,Loss,Steps,Collisions,Exit Reason
1,0.995,-736.0,0,14,5,Collision tolerance exceeded
2,0.990025,-682.0,970.1065227347717,23,5,Collision tolerance exceeded
3,0.985074875,-1320.0,5571.990448950217,42,5,Collision tolerance exceeded
4,0.9801495006250001,-1884.0,3497.8871134662736,44,5,Collision tolerance exceeded
5,0.9752487531218751,-3800.0,6307.3609027395805,70,5,Collision tolerance exceeded
6,0.9703725093562657,-2106.0,4082.3165232143474,51,5,Collision tolerance exceeded
7,0.9655206468094844,-2914.0,5778.906057871419,63,5,Collision tolerance exceeded
8,0.960693043575437,-222.0,2205.7531596701087,21,5,Collision tolerance exceeded
9,0.9558895783575597,-968.0,10877.339429699568,82,5,Collision tolerance exceeded
10,0.9511101304657719,-428.0,3484.7897815403217,20,5,Collision tolerance exceeded
11,0.946354579813443,-2472.0,12916.965541541778,93,5,Collision tolerance exceeded
12,0.9416228069143757,-1318.0,4030.982522751351,31,5,Collision tolerance exceeded
13,0.9369146928798039,-742.0,13843.912129746033,107,5,Collision tolerance exceeded
14,0.9322301194154049,-728.0,3474.373310029635,30,5,Collision tolerance exceeded
15,0.9275689688183278,-794.0,2355.448362169049,19,5,Collision tolerance exceeded
16,0.9229311239742362,-1226.0,3166.926424716792,25,5,Collision tolerance exceeded
17,0.918316468354365,-2148.0,6121.105938682185,48,5,Collision tolerance exceeded
18,0.9137248860125932,-26.0,7684.259423154123,58,5,Collision tolerance exceeded
19,0.9091562615825302,-444.0,3486.34021288698,30,5,Collision tolerance exceeded
20,0.9046104802746175,-914.0,7080.221604678845,63,5,Collision tolerance exceeded
21,0.9000874278732445,-936.0,2736.9695803605405,24,5,Collision tolerance exceeded
22,0.8955869907338783,-3952.0,16911.19686805363,146,5,Collision tolerance exceeded
23,0.8911090557802088,-3042.0,8652.950823279121,67,5,Collision tolerance exceeded
24,0.8866535105013078,-894.0,5615.897187577151,43,5,Collision tolerance exceeded
25,0.8822202429488013,-424.0,4995.143879065481,36,5,Collision tolerance exceeded
26,0.8778091417340573,-690.0,3835.3768894419354,29,5,Collision tolerance exceeded
27,0.8734200960253871,-964.0,4915.922476503307,38,5,Collision tolerance exceeded
28,0.8690529955452602,-830.0,2103.0277048192283,16,5,Collision tolerance exceeded
29,0.8647077305675338,-664.0,3573.713067908124,28,5,Collision tolerance exceeded
